1,12/6/2023,1:36:51 AM,34,1,1
2,7/2/2023,8:34:42 PM,43,2,2
3,9/22/2023,12:15:11 PM,42,3,3
4,2/3/2024,5:00:53 PM,15,4,4
5,9/10/2023,9:35:54 AM,24,5,5
6,5/21/2023,1:12:16 PM,6,6,6
7,10/9/2023,2:03:07 AM,7,7,7
8,4/2/2024,3:38:59 AM,6,8,8
9,2/20/2024,8:40:12 AM,45,9,9
10,8/10/2023,12:47:00 AM,41,10,10
11,9/21/2023,6:18:14 PM,27,11,11
12,7/4/2023,10:18:45 PM,24,12,12
13,7/10/2023,6:10:12 AM,31,13,13
14,1/30/2024,5:12:48 AM,39,14,14
15,9/8/2023,7:19:58 PM,43,15,15
16,8/12/2023,10:58:43 PM,36,16,16
17,7/8/2023,4:02:20 PM,19,17,17
18,6/2/2023,4:51:37 AM,9,18,18
19,9/1/2023,7:57:00 PM,14,19,19
20,12/13/2023,12:21:46 AM,39,20,20
21,1/31/2024,9:10:28 PM,36,21,21
22,12/2/2023,11:03:30 AM,23,22,22
23,10/22/2023,8:30:33 PM,15,23,23
24,5/29/2023,2:14:37 AM,49,24,24
25,12/18/2023,9:33:44 AM,1,25,25
26,12/17/2023,6:39:20 AM,22,26,26
27,12/30/2023,12:51:45 PM,38,27,27
28,5/21/2023,4:49:52 AM,33,28,28
29,2/2/2024,3:50:16 PM,8,29,29
30,7/6/2023,11:03:26 AM,3,30,30
31,7/1/2023,12:28:44 AM,11,31,31
32,10/18/2023,1:29:57 AM,21,32,32
33,1/12/2024,6:46:37 PM,45,33,33
34,8/11/2023,4:05:16 AM,2,34,34
35,8/25/2023,1:41:47 PM,46,35,35
36,7/25/2023,1:37:31 PM,15,36,36
37,5/18/2023,9:39:21 AM,48,37,37
38,9/12/2023,1:36:37 AM,28,38,38
39,10/23/2023,12:24:30 AM,20,39,39
40,8/4/2023,9:55:51 PM,11,40,40
41,9/26/2023,9:24:42 AM,35,41,41
42,8/8/2023,9:51:08 PM,14,42,42
43,3/11/2024,11:29:22 AM,29,43,43
44,4/16/2024,2:31:23 PM,4,44,44
45,4/7/2024,11:21:52 PM,47,45,45
46,12/31/2023,8:02:00 AM,24,46,46
47,12/10/2023,9:51:25 PM,22,47,47
48,3/24/2024,7:56:55 AM,42,48,48
49,9/4/2023,11:12:25 AM,48,49,49
50,12/23/2023,12:12:05 AM,21,50,50
