1,Emerald and Silver,1
2,Diamond and Gold,2
3,Ruby and Rose Gold,3
4,Ruby and Rose Gold,4
5,Ruby and Rose Gold,5
6,Pearl and White Gold,6
7,Diamond and Gold,7
8,Ruby and Rose Gold,8
9,Pearl and White Gold,9
10,Ruby and Rose Gold,10
11,Diamond and Gold,11
12,Sapphire and Platinum,12
13,Ruby and Rose Gold,13
14,Diamond and Gold,14
15,Diamond and Gold,15
16,Pearl and White Gold,16
17,Emerald and Silver,17
18,Pearl and White Gold,18
19,Diamond and Gold,19
20,Pearl and White Gold,20
21,Sapphire and Platinum,21
22,Pearl and White Gold,22
23,Pearl and White Gold,23
24,Pearl and White Gold,24
25,Ruby and Rose Gold,25
26,Diamond and Gold,26
27,Pearl and White Gold,27
28,Emerald and Silver,28
29,Emerald and Silver,29
30,Ruby and Rose Gold,30
31,Ruby and Rose Gold,31
32,Emerald and Silver,32
33,Ruby and Rose Gold,33
34,Emerald and Silver,34
35,Pearl and White Gold,35
36,Pearl and White Gold,36
37,Sapphire and Platinum,37
38,Ruby and Rose Gold,38
39,Emerald and Silver,39
40,Sapphire and Platinum,40
41,Ruby and Rose Gold,41
42,Sapphire and Platinum,42
43,Sapphire and Platinum,43
44,Pearl and White Gold,44
45,Pearl and White Gold,45
46,Diamond and Gold,46
47,Diamond and Gold,47
48,Diamond and Gold,48
49,Emerald and Silver,49
50,Sapphire and Platinum,50
