1,9/22/2023,Debit Card,7:26:10 AM,1
2,10/8/2023,Debit Card,9:07:41 PM,2
3,3/28/2024,Debit Card,4:27:29 AM,3
4,3/6/2023,Debit Card,8:54:19 AM,4
5,1/23/2023,Debit Card,5:24:02 PM,5
6,3/12/2024,Debit Card,10:18:41 AM,6
7,4/7/2024,Debit Card,5:59:26 AM,7
8,6/21/2023,Credit Card,11:35:44 PM,8
9,2/20/2023,Credit Card,7:56:41 AM,9
10,3/7/2024,Debit Card,4:53:37 AM,10
11,9/1/2023,Debit Card,5:45:40 AM,11
12,8/2/2023,Credit Card,1:09:56 AM,12
13,1/7/2024,Credit Card,11:20:31 PM,13
14,4/17/2023,Debit Card,6:24:46 PM,14
15,6/26/2023,Credit Card,9:13:06 AM,15
16,12/5/2023,Debit Card,4:35:16 AM,16
17,2/3/2024,Credit Card,11:03:41 PM,17
18,8/28/2023,Credit Card,5:35:58 AM,18
19,3/17/2024,Credit Card,9:07:01 PM,19
20,1/18/2023,Credit Card,7:18:51 AM,20
21,3/11/2023,Debit Card,1:24:22 AM,21
22,3/9/2023,Credit Card,1:03:47 PM,22
23,1/13/2024,Debit Card,4:44:25 AM,23
24,6/25/2023,Debit Card,11:08:19 PM,24
25,3/16/2023,Debit Card,1:40:51 AM,25
26,4/19/2024,Credit Card,1:03:59 AM,26
27,5/17/2023,Debit Card,7:22:38 AM,27
28,10/24/2023,Credit Card,10:21:50 PM,28
29,11/15/2023,Debit Card,9:47:48 PM,29
30,4/17/2023,Debit Card,5:34:12 PM,30
31,1/15/2023,Debit Card,1:39:25 AM,31
32,1/5/2024,Debit Card,6:18:03 PM,32
33,4/26/2024,Debit Card,11:13:09 PM,33
34,8/29/2023,Debit Card,5:04:32 PM,34
35,2/6/2024,Debit Card,10:46:44 PM,35
36,3/30/2023,Debit Card,7:01:39 AM,36
37,6/5/2023,Debit Card,5:53:27 AM,37
38,4/14/2024,Credit Card,4:13:11 AM,38
39,10/4/2023,Debit Card,2:16:32 PM,39
40,4/17/2024,Credit Card,11:36:54 PM,40
41,1/6/2024,Debit Card,2:16:24 PM,41
42,7/4/2023,Credit Card,10:18:31 PM,42
43,2/17/2024,Debit Card,8:06:20 PM,43
44,2/27/2023,Credit Card,4:13:42 PM,44
45,3/19/2023,Debit Card,2:07:23 AM,45
46,7/13/2023,Debit Card,3:38:19 AM,46
47,11/30/2023,Credit Card,7:02:13 AM,47
48,4/20/2023,Debit Card,10:27:05 AM,48
49,3/27/2023,Debit Card,5:13:28 AM,49
50,11/3/2023,Credit Card,4:20:44 PM,50
