1,Diamond Delight Ring,Emerald,400.00,879,1
2,Pearl Perfection Brooch,Sapphire,350.00,307,2
3,Topaz Treasure Anklet,Diamond,90.00,906,3
4,Rose Quartz Romance Earrings,Topaz,150.00,374,4
5,Rose Quartz Romance Earrings,Topaz,75.00,111,5
6,Turquoise Temptation Pin,Pearl,300.00,911,6
7,Citrine Charm Locket,Sapphire,95.00,615,7
8,Malachite Majesty Ring,Topaz,130.00,237,8
9,Rose Quartz Romance Earrings,Platinum,110.00,872,9
10,Topaz Treasure Anklet,Platinum,120.00,884,10
11,Peridot Princess Necklace,Sapphire,120.00,505,11
12,Amethyst Aura Pendant,Platinum,70.00,332,12
13,Emerald Elegance Bracelet,Ruby,180.00,924,13
14,Rose Quartz Romance Earrings,Emerald,250.00,791,14
15,Jade Jewel Bangle,Sapphire,85.00,959,15
16,Rose Quartz Romance Earrings,Topaz,90.00,860,16
17,Onyx Obsidian Cufflinks,Pearl,70.00,315,17
18,Malachite Majesty Ring,Diamond,75.00,651,18
19,Diamond Delight Ring,Sapphire,85.00,450,19
20,Lapis Lazuli Love Bracelet,Topaz,70.00,868,20
21,Pearl Perfection Brooch,Topaz,120.00,570,21
22,Topaz Treasure Anklet,Silver,220.00,895,22
23,Pearl Perfection Brooch,Silver,90.00,853,23
24,Garnet Glamour Tiara,Opal,95.00,374,24
25,Sapphire Sparkle Necklace,Topaz,75.00,338,25
26,Moonstone Magic Hairpin,Ruby,400.00,862,26
27,Rose Quartz Romance Earrings,Topaz,90.00,885,27
28,Pearl Perfection Brooch,Sapphire,110.00,884,28
29,Aquamarine Allure Cuff,Pearl,95.00,673,29
30,Ruby Radiance Earrings,Opal,90.00,807,30
31,Ruby Radiance Earrings,Diamond,75.00,709,31
32,Sapphire Sparkle Necklace,Gold,250.00,430,32
33,Ruby Radiance Earrings,Topaz,150.00,864,33
34,Amethyst Aura Pendant,Sapphire,220.00,578,34
35,Jade Jewel Bangle,Ruby,270.00,334,35
36,Amethyst Aura Pendant,Pearl,180.00,536,36
37,Citrine Charm Locket,Emerald,150.00,172,37
38,Citrine Charm Locket,Opal,90.00,884,38
39,Opal Opulence Choker,Silver,90.00,270,39
40,Onyx Obsidian Cufflinks,Ruby,350.00,950,40
41,Peridot Princess Necklace,Ruby,75.00,510,41
42,Turquoise Temptation Pin,Topaz,220.00,241,42
43,Rose Quartz Romance Earrings,Emerald,200.00,707,43
44,Lapis Lazuli Love Bracelet,Diamond,250.00,649,44
45,Aquamarine Allure Cuff,Platinum,270.00,304,45
46,Onyx Obsidian Cufflinks,Diamond,250.00,720,46
47,Garnet Glamour Tiara,Platinum,100.00,267,47
48,Rose Quartz Romance Earrings,Emerald,220.00,852,48
49,Lapis Lazuli Love Bracelet,Pearl,120.00,485,49
50,Sapphire Sparkle Necklace,Gold,120.00,119,50
